(4:person0).id;;(4:person0).primaryName;;(4:person0).birthYear;;(4:person0).deathYear;;(4:person0).primaryProfession;;(3:principal0).id;;(3:principal0).category;;(3:principal0).job;;(3:principal0).characters;;(4:person1).id;;(4:person1).primaryName;;(4:person1).birthYear;;(4:person1).deathYear;;(4:person1).primaryProfession
100;;Antoine Lumière;;1840;;1911;;;;99;;actor;;N;;[Man playing cards, seated on the left];;98;;Antoine Féraud;;N;;N;;actor
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;104048;;Patrick Waddington;;1901;;1987;;actor,soundtrack
100004;;Sydney Blythe;;1885;;N;;cinematographer;;34;;cinematographer;;N;;N;;68033;;Mary Odette;;1901;;1987;;actress
